MsgID.LOCAL_POSITION,11.2530000,-0.0426995,0.2934590,-0.2195651
MsgID.LOCAL_VELOCITY,11.2530000,0.0000178,-0.0000260,0.0000143
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924800,0.2190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,11.5040000,-0.0987620,0.2934645,-0.2222085
MsgID.LOCAL_VELOCITY,11.5040000,0.0000113,-0.0000185,0.0000169
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924795,0.2220000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,11.7540000,-0.2025927,0.2328695,-0.2163031
MsgID.LOCAL_VELOCITY,11.7540000,-0.0000150,-0.0000098,0.0000113
MsgID.GLOBAL_POSITION,0.0000000,-122.3974506,37.7924786,0.2160000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974516,37.7924799,0.1990000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,12.0040000,-0.0631699,0.1468758,-0.1995191
MsgID.LOCAL_VELOCITY,12.0040000,-0.0000127,-0.0000206,0.0000125
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924802,0.1680000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,12.2540000,-0.0290567,0.3081802,-0.1682218
MsgID.LOCAL_VELOCITY,12.2540000,-0.0000242,-0.0000172,0.0000176
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924799,0.1280000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,12.5040000,-0.0523032,0.2830442,-0.1281563
MsgID.LOCAL_VELOCITY,12.5040000,0.0000230,0.0000089,0.0000188
MsgID.LOCAL_POSITION,12.7540000,-0.0556636,0.2509959,-0.0798829
MsgID.LOCAL_VELOCITY,12.7540000,0.0000061,-0.0000124,0.0000114
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924799,0.0790000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924796,0.0330000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,13.0040000,-0.0890565,0.2930905,-0.0336919
MsgID.LOCAL_VELOCITY,13.0040000,-0.0000044,-0.0000262,0.0000074
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924808,-0.0070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,13.2540000,0.0473401,0.2934404,0.0070506
MsgID.LOCAL_VELOCITY,13.2540000,0.0000202,0.0000058,0.0000100
MsgID.LOCAL_POSITION,13.5040000,0.0579049,0.2934643,0.0361340
MsgID.LOCAL_VELOCITY,13.5040000,-0.0000133,-0.0000181,0.0000009
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924809,-0.0360000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,13.7540000,-0.0574285,0.2934643,0.0531786
MsgID.LOCAL_VELOCITY,13.7540000,-0.0000050,-0.0000004,0.0000011
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924799,-0.0530000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,14.0040000,-0.0306525,0.2989170,0.0582681
MsgID.LOCAL_VELOCITY,14.0040000,-0.0000035,0.0000049,0.0000085
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924801,-0.0580000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974486,37.7924799,-0.0520000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,14.2540000,-0.0532478,0.4112281,0.0528633
MsgID.LOCAL_VELOCITY,14.2540000,0.0000056,-0.0000014,0.0000074
MsgID.GLOBAL_POSITION,0.0000000,-122.3974479,37.7924799,-0.0380000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
